                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81445,                 1.3972,                0.68266,                 1.0447,                0.86435,                0.81456,                0.87636,                0.67833,                0.85431,                0.80465,                 0.8631,                0.63944,                0.86283,                 1.3777,                 0.7757,                  1.105,              0.0082675,              0.0082675,              0.0082675
                     38,                0.81077,                 1.3715,                0.67206,                 1.0477,                0.85057,                0.84292,                0.90996,                0.71059,                0.84227,                0.83336,                0.89882,                0.65822,                0.83327,                 1.3897,                0.71181,                 1.0849,               0.008218,               0.008218,               0.008218
                     39,                0.80369,                 1.4148,                  0.651,                 1.0356,                0.88324,                0.87252,                0.91959,                0.71257,                0.87281,                0.86391,                0.90607,                0.66656,                0.85099,                 1.3325,                0.64913,                 1.0948,              0.0081685,              0.0081685,              0.0081685
                     40,                0.78879,                 1.3834,                0.65171,                 1.0358,                0.88905,                0.86619,                0.91539,                 0.7161,                0.88376,                0.85913,                0.90082,                0.65896,                0.84531,                 1.4206,                0.65005,                 1.0884,               0.008119,               0.008119,               0.008119
                     41,                0.78626,                 1.3461,                0.63858,                 1.0237,                0.88492,                0.86646,                0.91124,                0.71123,                0.88089,                0.85779,                 0.8946,                0.64869,                0.82886,                 1.3924,                0.65693,                 1.0755,              0.0080695,              0.0080695,              0.0080695
                     42,                0.81185,                 1.4056,                0.66407,                 1.0386,                0.88376,                0.85943,                0.90901,                0.70895,                 0.8816,                0.85264,                0.90035,                0.66809,                 0.8301,                  1.324,                0.65409,                 1.0792,                0.00802,                0.00802,                0.00802
                     43,                0.83133,                 1.4049,                 0.6788,                 1.0448,                0.86155,                0.84662,                0.89221,                0.68668,                0.85871,                0.82556,                0.87733,                 0.6341,                0.88496,                 1.4424,                0.71447,                 1.1134,              0.0079705,              0.0079705,              0.0079705
                     44,                0.79497,                 1.3905,                 0.6506,                 1.0287,                0.87312,                0.87653,                 0.9203,                0.72346,                0.87014,                0.87022,                0.90972,                0.67668,                0.82408,                 1.3304,                 0.6596,                 1.0724,               0.007921,               0.007921,               0.007921
                     45,                0.77127,                 1.2979,                0.63224,                  1.024,                0.89791,                0.84489,                0.91258,                0.72018,                0.89659,                0.84003,                0.90371,                0.66441,                0.81931,                 1.3129,                0.64696,                  1.071,              0.0078715,              0.0078715,              0.0078715
                     46,                0.79055,                 1.3448,                0.64546,                 1.0306,                0.88357,                0.86377,                0.92281,                0.72891,                0.88759,                0.85254,                 0.9121,                0.67575,                0.80718,                 1.2961,                0.67012,                  1.066,               0.007822,               0.007822,               0.007822
                     47,                0.78398,                 1.3042,                0.62338,                 1.0195,                0.89199,                0.87502,                0.91862,                0.72293,                0.88909,                0.86905,                0.90739,                0.66824,                0.82079,                 1.3185,                0.63309,                 1.0612,              0.0077725,              0.0077725,              0.0077725
                     48,                0.76828,                 1.3327,                0.61244,                 1.0243,                 0.8069,                0.76284,                 0.8243,                0.61141,                0.77339,                0.72956,                0.77721,                0.52231,                0.91811,                  1.945,                0.85017,                 1.1712,               0.007723,               0.007723,               0.007723
                     49,                0.76379,                 1.3548,                0.63162,                  1.018,                0.88186,                0.87864,                0.91951,                0.72377,                0.87584,                0.87248,                0.90884,                0.67184,                0.81711,                 1.3165,                0.63213,                 1.0725,              0.0076735,              0.0076735,              0.0076735
                     50,                 0.7808,                 1.4155,                0.62736,                 1.0309,                0.88903,                0.86083,                0.92178,                 0.7276,                0.88254,                0.84993,                0.91169,                0.66573,                 0.8086,                 1.3769,                0.64093,                 1.0687,               0.007624,               0.007624,               0.007624
                     51,                0.75793,                 1.2982,                0.61384,                 1.0122,                 0.8924,                0.85596,                0.92066,                0.73064,                0.89022,                0.85391,                0.91142,                0.67264,                0.78735,                 1.3117,                0.62106,                 1.0514,              0.0075745,              0.0075745,              0.0075745
                     52,                0.77192,                 1.3632,                0.61907,                 1.0203,                 0.8693,                0.82943,                 0.8943,                0.69561,                 0.8605,                 0.8195,                0.88352,                0.64861,                0.84449,                 1.4201,                0.67822,                 1.0864,               0.007525,               0.007525,               0.007525
                     53,                 0.7635,                 1.3449,                0.61876,                 1.0204,                0.87076,                0.86873,                0.90949,                0.71168,                0.86328,                0.86095,                0.89517,                0.66641,                 0.8353,                 1.3657,                0.65472,                 1.0828,              0.0074755,              0.0074755,              0.0074755
                     54,                0.76496,                 1.3117,                0.61453,                 1.0172,                0.88704,                0.86669,                0.91619,                0.72684,                0.88068,                0.85502,                0.90294,                0.66643,                0.81562,                 1.3972,                0.65371,                 1.0603,               0.007426,               0.007426,               0.007426
                     55,                0.76851,                  1.339,                0.60653,                 1.0155,                0.89035,                 0.8328,                 0.9049,                 0.7074,                0.88363,                0.82543,                0.89523,                0.66035,                0.85015,                 1.3781,                0.67047,                 1.0885,              0.0073765,              0.0073765,              0.0073765
                     56,                0.77614,                 1.3285,                0.60293,                 1.0181,                0.90289,                0.87968,                0.92807,                0.74017,                0.89583,                0.87263,                0.91538,                 0.6888,                0.79932,                  1.282,                0.58889,                 1.0508,               0.007327,               0.007327,               0.007327
                     57,                0.75168,                 1.3117,                0.58432,                 1.0043,                0.86186,                0.90263,                0.92786,                0.74163,                0.87822,                 0.8716,                0.91544,                0.69159,                0.80351,                 1.2939,                0.60267,                  1.057,              0.0072775,              0.0072775,              0.0072775
                     58,                0.74384,                 1.2598,                0.58928,                 1.0146,                0.86685,                0.89485,                0.92653,                0.73806,                0.86123,                0.88896,                0.91681,                0.69214,                0.79395,                  1.276,                0.58156,                 1.0618,               0.007228,               0.007228,               0.007228
