                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0786,                 1.7519,                0.80781,                 1.0396,                0.79898,                0.81654,                0.82508,                 0.5154,                 0.7656,                0.78398,                0.78885,                0.41968,                  1.173,                 1.8345,                0.81554,                 1.1231,               0.007096,               0.007096,               0.007096
                     47,                 1.0883,                 1.7583,                0.80908,                 1.0464,                0.81239,                0.81688,                0.82968,                0.52087,                0.78111,                0.78787,                0.79254,                0.43012,                 1.1675,                 1.8654,                0.79352,                 1.1209,                0.00703,                0.00703,                0.00703
                     48,                 1.0875,                 1.7453,                0.79668,                 1.0474,                 0.7977,                0.82403,                0.82894,                0.51088,                0.75937,                  0.785,                0.78286,                 0.4125,                 1.1834,                 1.8603,                0.81379,                 1.1312,               0.006964,               0.006964,               0.006964
                     49,                 1.0901,                 1.7588,                 0.8093,                 1.0463,                0.79752,                0.80695,                0.81782,                0.50567,                0.78208,                0.77497,                0.78268,                 0.4106,                 1.1864,                 1.8431,                 0.8225,                  1.123,               0.006898,               0.006898,               0.006898
                     50,                 1.0952,                 1.7546,                0.88357,                 1.0529,                0.79378,                0.80395,                0.81743,                0.50437,                0.76723,                0.78073,                0.78397,                0.41928,                 1.1947,                 1.8961,                0.81906,                 1.1266,               0.006832,               0.006832,               0.006832
                     51,                 1.0819,                 1.7265,                 0.7866,                 1.0414,                0.73921,                0.69351,                0.71542,                0.43086,                0.69531,                0.63747,                0.64849,                0.32573,                 1.2877,                 2.4852,                 1.0598,                 1.1983,               0.006766,               0.006766,               0.006766
                     52,                 1.0951,                 1.7552,                0.78912,                 1.0379,                0.76586,                0.77278,                0.77413,                0.47847,                0.72363,                 0.7278,                0.71725,                0.38107,                 1.2023,                 2.0526,                0.87956,                 1.1386,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.1004,                 1.7572,                0.80852,                 1.0582,                0.78588,                0.78076,                 0.7969,                0.48903,                0.75525,                0.74002,                0.74709,                0.38635,                 1.1981,                 2.0183,                0.85868,                 1.1283,               0.006634,               0.006634,               0.006634
                     54,                 1.0737,                 1.7021,                0.77336,                 1.0271,                 0.8015,                 0.8061,                0.82616,                 0.5176,                0.77141,                0.78373,                0.79108,                0.42885,                  1.172,                 1.8264,                0.79243,                  1.115,               0.006568,               0.006568,               0.006568
                     55,                 1.0647,                 1.6932,                 0.7698,                 1.0357,                 0.7998,                 0.8073,                0.82463,                 0.5115,                0.77618,                 0.7659,                0.78044,                0.42146,                  1.177,                 1.8417,                0.80838,                 1.1171,               0.006502,               0.006502,               0.006502
                     56,                 1.0825,                 1.7499,                 0.8012,                 1.0498,                0.80313,                0.80796,                0.81712,                0.50649,                0.78156,                 0.7887,                  0.787,                0.42094,                 1.1724,                 1.8832,                0.80206,                 1.1175,               0.006436,               0.006436,               0.006436
                     57,                 1.0819,                 1.7127,                0.78095,                 1.0362,                0.71253,                0.60571,                0.64615,                0.37821,                0.65351,                0.55955,                0.56888,                0.27629,                 1.3635,                 2.9603,                 1.3975,                 1.2176,                0.00637,                0.00637,                0.00637
                     58,                 1.0637,                 1.6953,                0.76705,                 1.0307,                 0.8066,                0.81248,                 0.8264,                0.51604,                 0.7891,                0.78815,                0.79713,                0.42759,                 1.1661,                 1.8273,                0.79621,                 1.1188,               0.006304,               0.006304,               0.006304
                     59,                 1.0632,                 1.7013,                0.75525,                 1.0222,                0.79383,                0.80018,                0.80747,                0.50073,                0.78097,                0.76894,                0.78008,                 0.4147,                 1.1726,                  1.859,                0.82497,                 1.1214,               0.006238,               0.006238,               0.006238
                     60,                 1.0688,                  1.738,                0.77447,                 1.0313,                0.80371,                0.80137,                0.81869,                0.50704,                0.76377,                0.75393,                0.75769,                0.39357,                 1.1753,                  1.977,                0.83168,                 1.1158,               0.006172,               0.006172,               0.006172
                     61,                 1.0812,                  1.734,                0.78314,                 1.0393,                0.79115,                0.78764,                0.80046,                0.49844,                0.75756,                0.76151,                0.76519,                0.40787,                 1.1875,                 1.9058,                0.85597,                 1.1239,               0.006106,               0.006106,               0.006106
                     62,                 1.0464,                 1.6815,                0.74991,                 1.0247,                0.81502,                 0.8139,                0.82281,                0.51932,                0.79342,                0.79693,                0.80187,                0.43396,                 1.1732,                 1.8498,                0.77762,                 1.1185,                0.00604,                0.00604,                0.00604
                     63,                 1.0668,                  1.697,                0.76773,                 1.0283,                0.79195,                0.82705,                0.82203,                0.51275,                0.76243,                0.79755,                0.78451,                0.41733,                  1.177,                 1.8323,                0.80637,                 1.1258,               0.005974,               0.005974,               0.005974
                     64,                 1.0515,                 1.6604,                0.75744,                 1.0227,                0.79043,                0.81108,                0.81272,                0.50719,                0.77155,                0.79473,                0.79279,                 0.4308,                 1.1756,                 1.8447,                0.79755,                 1.1184,               0.005908,               0.005908,               0.005908
                     65,                 1.0455,                 1.6966,                0.77783,                 1.0242,                0.80224,                0.81695,                0.82607,                0.51351,                0.76717,                0.78018,                0.77946,                0.41761,                 1.1659,                  1.862,                0.79843,                 1.1122,               0.005842,               0.005842,               0.005842
                     66,                 1.0537,                 1.7033,                0.75768,                 1.0306,                0.68824,                0.58103,                 0.6248,                0.36664,                0.62339,                0.53205,                0.55135,                0.26386,                 1.3748,                 2.8787,                 1.3775,                 1.2625,               0.005776,               0.005776,               0.005776
                     67,                 1.0469,                  1.683,                0.75154,                   1.03,                0.80563,                0.81525,                 0.8271,                 0.5181,                0.77664,                0.78408,                0.78764,                0.42029,                 1.1518,                 1.8031,                0.79144,                 1.1106,                0.00571,                0.00571,                0.00571
                     68,                  1.048,                  1.696,                 0.7478,                 1.0256,                0.79471,                0.81285,                 0.8185,                0.51223,                0.76725,                0.77299,                0.77364,                0.41053,                 1.1696,                 1.8999,                0.78973,                 1.1095,               0.005644,               0.005644,               0.005644
                     69,                 1.0837,                 1.7333,                0.79449,                 1.0485,                 0.8075,                0.81849,                0.82756,                0.51876,                0.78361,                0.78119,                0.78919,                0.41885,                 1.1605,                 1.8264,                0.77777,                 1.1082,               0.005578,               0.005578,               0.005578
                     70,                 1.0161,                 1.6526,                0.92983,                 1.0049,                0.80885,                0.81565,                0.81789,                0.51012,                0.78766,                0.80419,                0.79537,                0.43355,                  1.159,                 1.8377,                0.78982,                 1.1095,               0.005512,               0.005512,               0.005512
                     71,                 1.0524,                 1.6509,                0.74142,                  1.024,                0.80359,                 0.8285,                0.82695,                0.51917,                0.77775,                0.79352,                0.79018,                0.43034,                  1.162,                  1.821,                0.78459,                  1.115,               0.005446,               0.005446,               0.005446
                     72,                 1.0456,                 1.6775,                0.73943,                 1.0184,                0.79039,                0.80411,                 0.8121,                 0.5053,                0.77772,                0.76165,                0.77476,                0.42112,                 1.1771,                 1.9464,                 0.7966,                 1.1237,                0.00538,                0.00538,                0.00538
                     73,                 1.0444,                   1.65,                0.74472,                 1.0226,                0.81038,                0.82009,                0.82345,                0.51791,                0.77682,                0.78572,                0.78367,                0.41796,                 1.1614,                 1.8227,                0.77634,                 1.1167,               0.005314,               0.005314,               0.005314
                     74,                  1.035,                 1.6564,                0.72969,                 1.0184,                 0.8025,                0.82796,                0.82379,                0.51843,                 0.7759,                0.80288,                0.79001,                0.43094,                 1.1581,                 1.8272,                0.77569,                 1.1069,               0.005248,               0.005248,               0.005248
                     75,                 1.0299,                 1.6401,                0.72633,                 1.0178,                 0.7758,                0.76755,                 0.7856,                0.47869,                0.73809,                0.72879,                0.73042,                0.37435,                 1.2112,                 2.0743,                0.85414,                 1.1355,               0.005182,               0.005182,               0.005182
